ReviewID,CustomerID,ProductID,ReviewDate,Rating,ReviewText,SentimentCategory
1,77,18,23-12-2023,3,"Average experience, nothing special.",Neutral
2,80,19,25-12-2024,5,The quality is  top-notch.,Positive
3,50,13,26-01-2025,4,Five stars for the quick delivery.,Positive
4,78,15,21-04-2025,3,"Good quality, but could be cheaper.",Neutral
5,64,2,16-07-2023,3,"Average experience, nothing special.",Neutral
6,81,1,21-12-2025,4,Customer support was very helpful.,Positive
7,16,1,29-01-2024,3,"Average experience, nothing special.",Neutral
8,55,8,15-08-2024,5,The quality  is top-notch.,Positive
9,3,13,01-09-2023,4,"I love this product, will buy again!",Positive
10,78,6,17-06-2024,5,"Excellent product, highly recommend!",Positive
11,54,9,17-07-2023,4,"Great purchase, very satisfied.",Positive
12,77,2,13-01-2025,2,Product did  not meet my expectations.,Negative
13,93,6,20-08-2024,5,"Great purchase, very satisfied.",Positive
14,23,2,16-06-2025,4,"Good quality, but could be cheaper.",Positive
15,29,11,27-01-2023,5,"Great purchase, very satisfied.",Positive
16,95,17,06-01-2023,5,"Excellent product, highly recommend!",Positive
17,88,4,29-10-2025,3,Not worth the money.,Neutral
18,17,16,23-11-2024,4,Shipping was fast and the item was well-packaged.,Positive
19,34,13,04-01-2024,4,The quality is top-notch.,Positive
20,34,6,29-04-2023,1,I had a bad experience with this product.,Negative
21,22,15,08-04-2023,5,Amazing value for the price.,Positive
22,52,3,30-10-2025,4,The quality is top-notch.,Positive
23,69,18,02-07-2023,5,Five stars for the quick delivery.,Positive
24,100,4,18-07-2025,3,"I love this  product, will buy again!",Neutral
25,55,20,19-12-2024,4,Shipping was fast and the item was well-packaged.,Positive
26,76,11,21-08-2024,4,Five stars for the quick delivery.,Positive
27,56,6,24-11-2025,4,The quality is top-notch.,Positive
28,76,8,27-05-2025,5,Five stars for the quick delivery.,Positive
29,38,13,31-05-2023,4,"I love this product, will buy again!",Positive
30,84,6,18-03-2024,4,Five stars for the quick delivery.,Positive
31,93,4,25-08-2025,3,"Good quality, but could be  cheaper.",Neutral
32,91,1,15-07-2023,4,The quality is top-notch.,Positive
33,30,2,21-02-2023,4,Shipping was fast and the item was well-packaged.,Positive
34,81,15,30-03-2024,5,"Excellent product, highly recommend!",Positive
35,27,12,13-03-2024,3,"Average experience, nothing special.",Neutral
36,96,9,05-12-2025,3,"Good quality, but could be cheaper.",Neutral
37,38,3,11-09-2023,3,"Average experience, nothing  special.",Neutral
38,45,17,07-05-2024,5,"Great purchase, very satisfied.",Positive
39,54,1,02-10-2023,5,Customer support was very helpful.,Positive
40,33,2,03-01-2025,5,Five stars  for the quick delivery.,Positive
41,93,17,15-05-2025,3,"Average experience, nothing special.",Neutral
42,72,15,21-03-2023,5,Five stars for the quick delivery.,Positive
43,84,15,02-02-2025,4,Exceeded my  expectations!,Positive
44,44,17,20-04-2023,5,"Excellent product,  highly recommend!",Positive
45,11,16,23-03-2023,3,Not worth the money.,Neutral
46,27,5,07-05-2025,4,Five stars for the quick delivery.,Positive
47,19,13,01-06-2024,4,Five stars for the quick delivery.,Positive
48,70,17,08-10-2023,4,Shipping was fast and the item  was well-packaged.,Positive
49,3,7,09-06-2025,3,"Good quality, but could  be cheaper.",Neutral
50,62,4,07-01-2023,1,The product stopped working after a month.,Negative
